Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2020,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
20,Breast,903,Africa,0,0,186598,2020,186598,0,0,0
20,Breast,903,Africa,0,0,186598,2025,218523,31925,17.109,0
20,Breast,903,Africa,0,0,186598,2030,255607,69009,36.9827,0
20,Breast,903,Africa,0,0,186598,2035,298224,111626,59.8216,0
20,Breast,903,Africa,0,0,186598,2040,346587,159989,85.7399,0
20,Breast,904,Latin America and Caribbean,0,0,210100,2020,210100,0,0,0
20,Breast,904,Latin America and Caribbean,0,0,210100,2025,236481,26381,12.5564,0
20,Breast,904,Latin America and Caribbean,0,0,210100,2030,263289,53189,25.316,0
20,Breast,904,Latin America and Caribbean,0,0,210100,2035,289588,79488,37.8334,0
20,Breast,904,Latin America and Caribbean,0,0,210100,2040,314356,104256,49.6221,0
20,Breast,905,Northern America,0,0,281591,2020,281591,0,0,0
20,Breast,905,Northern America,0,0,281591,2025,299994,18403,6.5354,0
20,Breast,905,Northern America,0,0,281591,2030,316632,35041,12.4439,0
20,Breast,905,Northern America,0,0,281591,2035,331476,49885,17.7154,0
20,Breast,905,Northern America,0,0,281591,2040,343676,62085,22.0479,0
20,Breast,908,Europe,0,0,531086,2020,531086,0,0,0
20,Breast,908,Europe,0,0,531086,2025,547054,15968,3.0067,0
20,Breast,908,Europe,0,0,531086,2030,559159,28073,5.286,0
20,Breast,908,Europe,0,0,531086,2035,566503,35417,6.6688,0
20,Breast,908,Europe,0,0,531086,2040,568439,37353,7.0333,0
20,Breast,909,Oceania,0,0,25873,2020,25873,0,0,0
20,Breast,909,Oceania,0,0,25873,2025,28498,2625,10.1457,0
20,Breast,909,Oceania,0,0,25873,2030,31094,5221,20.1793,0
20,Breast,909,Oceania,0,0,25873,2035,33579,7706,29.7839,0
20,Breast,909,Oceania,0,0,25873,2040,35935,10062,38.89,0
20,Breast,935,Asia,0,0,1026171,2020,1026171,0,0,0
20,Breast,935,Asia,0,0,1026171,2025,1136693,110522,10.7703,0
20,Breast,935,Asia,0,0,1026171,2030,1240631,214460,20.8991,0
20,Breast,935,Asia,0,0,1026171,2035,1334904,308733,30.0859,0
20,Breast,935,Asia,0,0,1026171,2040,1416478,390307,38.0353,0